pool,month,hashrate(P),blocks
poolin,201908,9408.25,538
poolin,201909,13477.11,597
poolin,201910,15838.30,706
poolin,201911,16899.36,746
poolin,201912,17431.32,642
UKRpool,201901,0.00,0
UKRpool,201902,0.00,0
UKRpool,201903,0.00,0
UKRpool,201904,0.00,0
UKRpool,201905,0.00,0
UKRpool,201906,0.00,0
UKRpool,201907,0.00,0
UKRpool,201908,0.00,0
UKRpool,201909,0.00,0
UKRpool,201910,0.00,0
UKRpool,201911,0.00,0
UKRpool,201912,269.98,5
